Transcript stable ID	HGNC symbol
ENST00000618535	ARHGEF26
ENST00000633057	PHRF1
ENST00000616346	PHRF1
ENST00000633631	PHRF1
ENST00000632297	PHRF1
ENST00000634091	PHRF1
ENST00000633695	PHRF1
ENST00000631187	TUBGCP5
ENST00000630135	TUBGCP5
ENST00000620361	TUBGCP5
ENST00000628386	TUBGCP5
ENST00000626696	TUBGCP5
ENST00000625857	TUBGCP5
ENST00000627602	TUBGCP5
ENST00000628154	TUBGCP5
ENST00000626276	TUBGCP5
ENST00000626693	TUBGCP5
ENST00000627961	TUBGCP5
ENST00000633825	TBCD
ENST00000633032	TBCD
ENST00000634076	TBCD
ENST00000632739	TBCD
ENST00000632984	TBCD
ENST00000612762	TBCD
ENST00000633959	TBCD
ENST00000631706	TBCD
ENST00000631646	TBCD
ENST00000632647	TBCD
ENST00000631397	TBCD
ENST00000632595	TBCD
ENST00000633166	TBCD
ENST00000633381	TBCD
ENST00000633569	TBCD
ENST00000632120	TBCD
ENST00000632081	TBCD
ENST00000632123	TBCD
ENST00000634094	TBCD
ENST00000610863	NOSTRIN
ENST00000619846	NOSTRIN
ENST00000620516	NOSTRIN
ENST00000611498	NOSTRIN
ENST00000614842	NOSTRIN
ENST00000610378	NOSTRIN
ENST00000610364	NOSTRIN
ENST00000618893	NOSTRIN
ENST00000620000	NOSTRIN
ENST00000613802	NOSTRIN
ENST00000614172	NOSTRIN
ENST00000614613	NOSTRIN
ENST00000611193	KIR2DS3
ENST00000615799	MEGF11
ENST00000612969	MEGF11
ENST00000618218	MEGF11
ENST00000617841	MEGF11
ENST00000614417	MEGF11
ENST00000621793	MEGF11
ENST00000615866	MEGF11
ENST00000614717	MEGF11
ENST00000622356	MEGF11
ENST00000613422	MEGF11
ENST00000614563	MEGF11
ENST00000620966	MEGF11
ENST00000614471	MEGF11
ENST00000611573	KIR3DL3
ENST00000628423	GTF2H2
ENST00000627645	GTF2H2
ENST00000425596	GTF2H2
ENST00000612581	GTF2H2
ENST00000630101	GTF2H2
ENST00000630141	GTF2H2
ENST00000626864	GTF2H2
ENST00000625259	GTF2H2
ENST00000626973	GTF2H2
ENST00000628942	GTF2H2
ENST00000625641	GTF2H2
ENST00000629727	GTF2H2
ENST00000626970	GTF2H2
ENST00000626950	GTF2H2
ENST00000573680	PAXBP1
ENST00000575821	PAXBP1
ENST00000611190	PAXBP1
ENST00000575419	PAXBP1
ENST00000574159	PAXBP1
ENST00000576372	C21orf62
ENST00000576061	C21orf62
ENST00000573131	C21orf62
ENST00000571812	C21orf62
ENST00000611731	KRTAP5-6
ENST00000625554	KRTAP5-1
ENST00000612182	KIR2DS2
ENST00000630519	KRTAP5-4
ENST00000611225	KRTAP5-4
ENST00000626614	KRTAP5-5
ENST00000613035	KRTAP5-5
ENST00000632078	GOLGA8F
ENST00000632132	GOLGA8F
ENST00000615448	GOLGA8F
ENST00000613977	GOLGA8F
ENST00000611317	GOLGA8F
ENST00000618263	GOLGA8F
ENST00000621596	B3GNTL1
ENST00000632715	B3GNTL1
ENST00000633139	B3GNTL1
ENST00000631989	B3GNTL1
ENST00000634138	B3GNTL1
ENST00000632023	B3GNTL1
ENST00000633508	B3GNTL1
ENST00000634114	B3GNTL1
ENST00000631453	B3GNTL1
ENST00000633330	B3GNTL1
ENST00000632413	B3GNTL1
ENST00000629053	DUSP8
ENST00000628215	DUSP8
ENST00000610856	DUSP8
ENST00000625556	IFITM10
ENST00000630256	IFITM10
